"langue et niveau","dates d'inscription","date de session","université organisatrice","site d'information",contact
"Anglais - B2","04/01/2027 au 28/01/2027",17/03/2027,"UNIVERSITÉ DE ROUEN NORMANDIE",https://maisondeslangues.univ-rouen.fr/certifications-et-tests/cles/,cles.univ-rouen.fr
"Allemand - B1","07/09/2026 au 28/02/2027",20/03/2027,"SORBONNE UNIVERSITÉ",https://sciences.sorbonne-universite.fr/formation-sciences/offre-de-formation/enseignement-des-langues/cles-certificat-de-competence-en,frederic.menu@sorbonne-universite.fr
"Espagnol - B1","07/09/2026 au 28/02/2027",20/03/2027,"SORBONNE UNIVERSITÉ",https://sciences.sorbonne-universite.fr/formation-sciences/offre-de-formation/enseignement-des-langues/cles-certificat-de-competence-en,frederic.menu@sorbonne-universite.fr
"Espagnol - B2","07/09/2026 au 28/02/2027",20/03/2027,"SORBONNE UNIVERSITÉ",https://sciences.sorbonne-universite.fr/formation-sciences/offre-de-formation/enseignement-des-langues/cles-certificat-de-competence-en,frederic.menu@sorbonne-universite.fr
"Anglais - B2","08/02/2027 au 28/02/2027",20/03/2027,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Italien - B1","08/02/2027 au 28/02/2027",20/03/2027,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Italien - B2","08/02/2027 au 28/02/2027",20/03/2027,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Portugais - B1","08/02/2027 au 28/02/2027",20/03/2027,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Portugais - B2","08/02/2027 au 28/02/2027",20/03/2027,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Anglais - B2","24/06/2026 au 24/06/2026",20/03/2027,"UNIVERSITÉ RENNES II HAUTE BRETAGNE",,
"Allemand - B1","01/02/2027 au 15/02/2027",26/03/2027,"UNIVERSITÉ DE LORRAINE",https://lansad.univ-lorraine.fr/cles/,lansad-certification-contact@univ-lorraine.fr
"Espagnol - B1","01/02/2027 au 15/02/2027",26/03/2027,"UNIVERSITÉ DE LORRAINE",https://lansad.univ-lorraine.fr/cles/,lansad-certification-contact@univ-lorraine.fr
"Italien - B1","01/02/2027 au 15/02/2027",26/03/2027,"UNIVERSITÉ DE LORRAINE",https://lansad.univ-lorraine.fr/cles/,lansad-certification-contact@univ-lorraine.fr
"Allemand - B2","01/12/2026 au 01/03/2027",26/03/2027,"UNIVERSITÉ DE MONTPELLIER PAUL-VALERY",cles.umpv.fr,"cler@umpv.fr "
"Italien - B2","01/12/2026 au 01/03/2027",26/03/2027,"UNIVERSITÉ DE MONTPELLIER PAUL-VALERY",cles.umpv.fr,cler@umpv.fr
"Espagnol - B2","04/01/2027 au 28/01/2027",26/03/2027,"UNIVERSITÉ DE ROUEN NORMANDIE",https://maisondeslangues.univ-rouen.fr/certifications-et-tests/cles/,cles.univ-rouen.fr
"Italien - B2","04/01/2027 au 28/01/2027",26/03/2027,"UNIVERSITÉ DE ROUEN NORMANDIE",https://maisondeslangues.univ-rouen.fr/certifications-et-tests/cles/,cles.univ-rouen.fr
"Italien - B2","04/01/2027 au 28/01/2027",26/03/2027,"UNIVERSITÉ DE ROUEN NORMANDIE",https://maisondeslangues.univ-rouen.fr/certifications-et-tests/cles/,cles.univ-rouen.fr
"Anglais - B2","15/09/2026 au 05/03/2027",01/04/2027,"UNIVERSITÉ BREST BRETAGNE OCCIDENTALE (UBO)",https://www.univ-brest.fr/pole-langues/fr/page/cles-certificat-de-competences-en-langues-de-lenseignement-superieur,cles.pole.langues@univ-brest.fr
"Italien - B1","15/09/2026 au 05/03/2027",02/04/2027,"UNIVERSITÉ BREST BRETAGNE OCCIDENTALE (UBO)",https://www.univ-brest.fr/pole-langues/fr/page/cles-certificat-de-competences-en-langues-de-lenseignement-superieur,cles.pole.langues@univ-brest.fr
"Italien - B1","04/01/2027 au 22/01/2027",02/04/2027,"UNIVERSITÉ DE CAEN NORMANDIE",https://www.unicaen.fr/formation/nos-formations/certifications/certifications/,intl.certifications@unicaen.fr
"Italien - B2","04/01/2027 au 22/01/2027",02/04/2027,"UNIVERSITÉ DE CAEN NORMANDIE",https://www.unicaen.fr/formation/nos-formations/certifications/certifications/,intl.certifications@unicaen.fr
"Anglais - B2","01/12/2027 au 08/03/2027",02/04/2027,"UNIVERSITÉ DE MONTPELLIER PAUL-VALERY",cles.umpv.fr,cler@umpv.fr
"Anglais - B2","26/02/2027 au 26/03/2027",10/04/2027,"UNIVERSITÉ DE RENNES",https://langues.univ-rennes.fr/,andrea.spaeth-balanant@univ-rennes.fr
"Portugais - B1","04/01/2027 au 22/01/2027",16/04/2027,"UNIVERSITÉ DE CAEN NORMANDIE",https://www.unicaen.fr/formation/nos-formations/certifications/certifications/,intl.certifications@unicaen.fr
"Portugais - B2","04/01/2027 au 22/01/2027",16/04/2027,"UNIVERSITÉ DE CAEN NORMANDIE",https://www.unicaen.fr/formation/nos-formations/certifications/certifications/,intl.certifications@unicaen.fr
"Arabe - B1","01/02/2027 au 15/03/2027",16/04/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Espagnol - B1","01/02/2027 au 15/03/2027",16/04/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Grec - B1","01/02/2027 au 15/03/2027",16/04/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Russe - B1","01/02/2027 au 15/03/2027",16/04/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Russe - B2","01/02/2027 au 15/03/2027",16/04/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Russe - B1","01/02/2027 au 08/04/2027",20/04/2027,"UNIVERSITÉ MARIE ET LOUIS PASTEUR",,
"Russe - B2","01/03/2027 au 08/04/2027",20/04/2027,"UNIVERSITÉ MARIE ET LOUIS PASTEUR",,
"Allemand - B2","16/03/2027 au 31/03/2027",26/04/2027,"UNIVERSITÉ GRENOBLE ALPES",https://sdl.univ-grenoble-alpes.fr/se-certifier/cles-/cles-217437.kjsp,cles@univ-grenoble-alpes.fr
"Italien - B1","16/03/2027 au 31/03/2027",26/04/2027,"UNIVERSITÉ GRENOBLE ALPES",https://sdl.univ-grenoble-alpes.fr/se-certifier/cles-/cles-217437.kjsp,cles@univ-grenoble-alpes.fr
"Italien - B2","16/03/2027 au 31/03/2027",26/04/2027,"UNIVERSITÉ GRENOBLE ALPES",https://sdl.univ-grenoble-alpes.fr/se-certifier/cles-/cles-217437.kjsp,cles@univ-grenoble-alpes.fr
"Russe - B2","16/03/2027 au 31/03/2027",26/04/2027,"UNIVERSITÉ GRENOBLE ALPES",https://sdl.univ-grenoble-alpes.fr/se-certifier/cles-/cles-217437.kjsp,cles@univ-grenoble-alpes.fr
"Anglais - C1","16/03/2027 au 31/03/2027",27/04/2027,"UNIVERSITÉ GRENOBLE ALPES",https://sdl.univ-grenoble-alpes.fr/se-certifier/cles-/cles-217437.kjsp,cles@univ-grenoble-alpes.fr
"Espagnol - B2","16/03/2027 au 31/03/2027",29/04/2027,"UNIVERSITÉ GRENOBLE ALPES",https://sdl.univ-grenoble-alpes.fr/se-certifier/cles-/cles-217437.kjsp,cles@univ-grenoble-alpes.fr
"Anglais - B2","16/03/2027 au 31/03/2027",30/04/2027,"UNIVERSITÉ GRENOBLE ALPES",https://sdl.univ-grenoble-alpes.fr/se-certifier/cles-/cles-217437.kjsp,cles@univ-grenoble-alpes.fr
"Anglais - C1","24/03/2027 au 06/04/2027",12/05/2027,"UNIVERSITÉ DE LORRAINE",https://lansad.univ-lorraine.fr/cles/,lansad-certification-contact@univ-lorraine.fr
"Arabe - B1","04/01/2027 au 22/01/2027",14/05/2027,"UNIVERSITÉ DE CAEN NORMANDIE",https://www.unicaen.fr/formation/nos-formations/certifications/certifications/,intl.certifications@unicaen.fr
"Arabe - B2","04/01/2027 au 22/01/2027",14/05/2027,"UNIVERSITÉ DE CAEN NORMANDIE",https://www.unicaen.fr/formation/nos-formations/certifications/certifications/,intl.certifications@unicaen.fr
"Espagnol - B2","01/02/2027 au 15/03/2027",14/05/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Anglais - B2","18/02/2027 au 18/04/2027",18/05/2027,"UNIVERSITÉ DE CORSE PASQUALE PAOLI",,clic@univ-corse.fr
"Arabe - B2","15/03/2027 au 24/03/2027",18/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Italien - B1","15/03/2027 au 24/03/2027",18/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Russe - B1","15/03/2027 au 24/03/2027",18/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Anglais - B1","15/03/2027 au 24/03/2027",19/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Arabe - B1","15/03/2027 au 24/03/2027",19/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Grec - B2","15/03/2027 au 24/03/2027",19/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Polonais - B1","15/03/2027 au 24/03/2027",19/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Anglais - B2","15/03/2027 au 24/03/2027",20/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Espagnol - B1","15/03/2027 au 24/03/2027",20/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Grec - B1","15/03/2027 au 24/03/2027",20/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Italien - B2","15/03/2027 au 24/03/2027",20/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Portugais - B2","15/03/2027 au 24/03/2027",20/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Anglais - B1","18/01/2027 au 12/02/2027",21/05/2027,"UNIVERSITÉ CLERMONT AUVERGNE",https://www.uca.fr/formation/nos-formations/service-commun-des-langues-vivantes/certifications/cles,
"Espagnol - B1","18/01/2027 au 12/02/2027",21/05/2027,"UNIVERSITÉ CLERMONT AUVERGNE",https://www.uca.fr/formation/nos-formations/service-commun-des-langues-vivantes/certifications/cles,
"Italien - B1","18/01/2027 au 12/02/2027",21/05/2027,"UNIVERSITÉ CLERMONT AUVERGNE",https://www.uca.fr/formation/nos-formations/service-commun-des-langues-vivantes/certifications/cles,
"Espagnol - C1","15/03/2027 au 24/03/2027",21/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Italien - C1","15/03/2027 au 24/03/2027",21/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Portugais - B1","15/03/2027 au 24/03/2027",21/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Allemand - B1","01/02/2027 au 15/03/2027",21/05/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"FLE - B2","01/02/2027 au 15/03/2027",21/05/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Allemand - B2","01/02/2027 au 15/03/2027",22/05/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Anglais - B2","01/02/2027 au 15/03/2027",22/05/2027,"UNIVERSITÉ DE STRASBOURG",https://lansad.unistra.fr/certifications/cles/,certifications-langues@unistra.fr
"Allemand - B1","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Allemand - B2","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Arabe - B1","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Arabe - B2","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Chinois - B1","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Espagnol - B1","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Espagnol - B2","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Grec - B1","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Grec - B2","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Italien - B1","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Polonais - B1","04/01/2027 au 28/02/2027",24/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Espagnol - B2","15/03/2027 au 24/03/2027",24/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Anglais - B1","04/01/2027 au 28/02/2027",25/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Italien - B2","04/01/2027 au 28/02/2027",25/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Portugais - B1","04/01/2027 au 28/02/2027",25/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Portugais - B2","04/01/2027 au 28/02/2027",25/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Russe - B1","04/01/2027 au 28/02/2027",25/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Russe - B2","04/01/2027 au 28/02/2027",25/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Anglais - C1","15/03/2027 au 24/03/2027",25/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Anglais - B2","04/01/2027 au 28/02/2027",26/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Anglais - B2","26/02/2027 au 26/04/2027",26/05/2027,"UNIVERSITÉ DE CORSE PASQUALE PAOLI",,clic@univ-corse.fr
"Italien - B2","26/02/2027 au 26/04/2027",26/05/2027,"UNIVERSITÉ DE CORSE PASQUALE PAOLI",,clic@univ-corse.fr
"Allemand - C1","04/01/2027 au 28/02/2027",27/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Allemand - C1","04/01/2027 au 28/02/2027",27/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Anglais - C1","04/01/2027 au 28/02/2027",27/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Espagnol - C1","04/01/2027 au 28/02/2027",27/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Italien - C1","04/01/2027 au 28/02/2027",27/05/2027,"UNIVERSITÉ BORDEAUX MONTAIGNE",https://formations.u-bordeaux-montaigne.fr/fr/catalogue-des-formations/certification-CL/certification-en-langues-cles-et-clubm-L06HTYJO.html,"dlm @ u-bordeaux-montaigne.fr"
"Anglais - B1","🔒 Inscriptions réservées",28/05/2027,"UNIVERSITÉ BREST BRETAGNE OCCIDENTALE (UBO)",https://www.univ-brest.fr/pole-langues/fr/page/cles-certificat-de-competences-en-langues-de-lenseignement-superieur,cles.pole.langues@univ-brest.fr
"Allemand - B1","15/03/2027 au 24/03/2027",28/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Allemand - B2","15/03/2027 au 24/03/2027",28/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Allemand - C1","15/03/2027 au 24/03/2027",29/05/2027,"UNIVERSITÉ DE LILLE",,cles@univ-lille.fr
"Anglais - C1","19/06/2026 au 19/06/2026",03/06/2027,"UNIVERSITÉ DU LITTORAL COTE D'OPALE (ULCO)",https://crl.univ-littoral.fr/,lansad@univ-littoral.fr
